id,user_id,user_name,sentence_index,char_index,char_1,char_2,DD,DU,UD,UU,H1,H2
645,28,user100,1,5,101,114,71,122,17,68,54,51
646,28,user100,1,6,114,116,70,120,19,69,51,50
647,28,user100,1,7,116,121,73,225,23,175,50,152
648,28,user100,2,0,13,113,489,623,317,451,172,134
649,28,user100,2,1,113,119,135,197,1,63,134,62
650,28,user100,2,2,119,101,63,114,1,52,62,51
651,28,user100,2,3,101,114,55,102,4,51,51,47
652,28,user100,2,4,114,116,51,121,4,74,47,70
653,28,user100,2,5,116,121,77,232,7,162,70,155
654,28,user100,3,0,13,113,406,517,222,333,184,111
655,28,user100,3,1,113,119,117,183,6,72,111,66
656,28,user100,3,2,119,101,71,121,5,55,66,50
657,28,user100,3,3,101,114,55,104,5,54,50,49
658,28,user100,3,4,114,116,55,121,6,72,49,66
659,28,user100,3,5,116,121,69,211,3,145,66,142
660,28,user100,4,0,13,113,967,1082,785,900,182,115
661,28,user100,4,1,113,119,122,172,7,57,115,50
662,28,user100,4,2,119,101,55,106,5,56,50,51
663,28,user100,4,3,101,114,54,103,3,52,51,49
664,28,user100,4,4,114,116,51,118,2,69,49,67
665,28,user100,4,5,116,121,69,215,2,148,67,146
666,29,user99,0,0,113,119,241,377,-35,101,276,136
667,29,user99,0,1,119,101,103,197,-33,61,136,94
668,29,user99,0,2,101,114,66,164,-28,70,94,98
669,29,user99,0,3,114,116,67,220,-31,122,98,153
670,29,user99,0,4,116,121,108,342,-45,189,153,234
671,29,user99,1,0,13,113,363,564,243,444,120,201
672,29,user99,1,1,113,119,149,230,-52,29,201,81
673,29,user99,1,2,119,101,54,132,-27,51,81,78
674,29,user99,1,3,101,114,62,152,-16,74,78,90
675,29,user99,1,4,114,116,49,274,-41,184,90,225
676,29,user99,1,5,116,121,182,404,-43,179,225,222
677,29,user99,2,0,13,113,679,835,567,723,112,156
678,29,user99,2,1,113,119,105,192,-51,36,156,87
679,29,user99,2,2,119,101,71,139,-16,52,87,68
680,29,user99,2,3,101,114,48,147,-20,79,68,99
681,29,user99,2,4,114,116,51,273,-48,174,99,222
682,29,user99,3,0,13,113,746,945,621,820,125,199
683,29,user99,3,1,113,119,168,270,-31,71,199,102
684,29,user99,3,2,119,101,63,184,-39,82,102,121
685,29,user99,3,3,101,114,89,178,-32,57,121,89
686,29,user99,3,4,114,116,64,168,-25,79,89,104
687,29,user99,3,5,116,121,74,318,-30,214,104,244
688,29,user99,4,0,13,113,897,1016,792,911,105,119
689,29,user99,4,1,113,119,88,157,-31,38,119,69
690,29,user99,4,2,119,101,51,121,-18,52,69,70
691,29,user99,4,3,101,114,49,121,-21,51,70,72
692,29,user99,4,4,114,116,56,289,-16,217,72,233
693,29,user99,4,5,116,121,206,447,-27,214,233,241
694,30,user101,0,0,113,119,163,323,-50,110,213,160
695,30,user101,0,1,119,101,120,258,-40,98,160,138
696,30,user101,0,2,101,114,106,275,-32,137,138,169
697,30,user101,0,3,114,116,123,317,-46,148,169,194
698,30,user101,0,4,116,121,161,363,-33,169,194,202
699,30,user101,1,0,13,113,379,508,241,370,138,129
700,30,user101,1,1,113,119,97,176,-32,47,129,79
701,30,user101,1,2,119,101,64,159,-15,80,79,95
702,30,user101,1,3,101,114,60,195,-35,100,95,135
703,30,user101,1,4,114,116,90,251,-45,116,135,161
704,30,user101,2,0,13,113,540,698,410,568,130,158
705,30,user101,2,1,113,119,126,211,-32,53,158,85
706,30,user101,2,2,119,101,65,159,-20,74,85,94
707,30,user101,2,3,101,114,66,183,-28,89,94,117
708,30,user101,2,4,114,116,74,265,-43,148,117,191
709,30,user101,3,0,13,113,622,753,482,613,140,131
710,30,user101,3,1,113,119,97,183,-34,52,131,86
711,30,user101,3,2,119,101,66,158,-20,72,86,92
712,30,user101,3,3,101,114,53,177,-39,85,92,124
713,30,user101,3,4,114,116,78,216,-46,92,124,138
714,30,user101,4,0,13,113,1173,1347,1051,1225,122,174
715,30,user101,4,1,113,119,126,227,-48,53,174,101
716,30,user101,4,2,119,101,83,176,-18,75,101,93
717,30,user101,4,3,101,114,62,183,-31,90,93,121
718,30,user101,4,4,114,116,71,236,-50,115,121,165
